i,n,b_low,b_high,r,approx,n_calls,time_ms
13,10,2,20,40,2362.554750314398,44,252
14,10,2,20,40,2085.559272732494,44,252
15,10,2,20,40,1941.7951227398376,44,251
16,10,2,20,40,3410.531928628653,46,270
17,10,2,20,40,2432.5162004378676,45,258
18,10,2,20,40,2202.4735360059794,44,252
19,10,2,20,40,1971.9877343972853,45,257
20,10,2,20,40,2596.4864318644563,45,259
21,10,2,20,40,2902.671508232429,45,263
22,10,2,20,40,2732.422003064096,44,255
23,10,2,20,40,2070.235297931027,44,252
24,10,2,20,40,2030.4389288063535,44,252
25,10,2,20,40,3169.748717298204,45,259
26,10,2,20,40,2165.907648824982,45,259
27,10,2,20,40,1799.7832879574753,43,245
28,10,2,20,40,2611.9098154914855,46,268
29,10,2,20,40,3421.1179217257722,47,271
30,10,2,20,40,1704.9882734537096,43,244
31,10,2,20,40,2931.7567847253054,44,254
32,10,2,20,40,2379.1999594865874,44,254
33,10,2,20,40,2419.161774742156,44,252
34,10,2,20,40,2012.8026113563253,44,254
35,10,2,20,40,2994.6340537211345,45,260
36,10,2,20,40,2090.9211087914773,45,259
37,10,2,20,40,1763.4134851254405,43,246
38,10,2,20,40,2424.664144252311,45,259
39,10,2,20,40,3000.1059271419103,44,256
40,10,2,20,40,2189.354394862494,45,259
41,10,2,20,40,2299.1296755801,43,250
42,10,2,20,40,1799.7832879574753,43,247
43,10,2,20,40,2949.8166810895755,46,268
44,10,2,20,40,3033.751178605333,45,262
45,10,2,20,40,2569.186415220311,45,262
46,10,2,20,40,2516.059716630329,44,253
47,10,2,20,40,2516.03331077035,45,259
48,10,2,20,40,2540.5602364348897,45,260
49,10,2,20,40,3245.3195983915457,46,267
50,10,2,20,40,3099.2312181451116,46,265
51,10,2,20,40,2833.2585779346146,46,266
52,10,2,20,40,2650.9515335752108,43,249
53,10,2,20,40,2373.0866998770503,44,255
54,10,2,20,40,3291.5953259773974,46,268
55,10,2,20,40,3121.226412034724,45,261
56,10,2,20,40,2853.8205414524664,46,269
57,10,2,20,40,2606.10401121242,45,262
58,10,2,20,40,2553.717887702379,44,259
59,10,2,20,40,2657.208487303976,45,266
